code,year,sectordeflator_VA_P,sectordeflator_GO_P,sectordeflator_II_P,IP_GFCF_market,deflator,_fillin
20-21,1952,,,,,,1
20-21,1953,,,,,,1
20-21,1954,,,,,,1
20-21,1955,,,,,,1
20-21,1956,,,,,,1
20-21,1957,,,,,,1
20-21,1958,,,,,,1
20-21,1959,,,,,,1
20-21,1960,,,,,,1
20-21,1961,,,,,,1
20-21,1962,,,,,,1
20-21,1963,,,,,,1
20-21,1964,,,,,,1
20-21,1965,,,,,,1
20-21,1966,,,,,,1
20-21,1967,,,,,,1
20-21,1968,,,,,,1
20-21,1969,,,,,,1
20-21,1970,,,,,.15977,0
20-21,1971,,,,,.1692,0
20-21,1972,,,,,.18071,0
20-21,1973,,,,,.19492,0
20-21,1974,,,,,.21796,0
20-21,1975,.465828858578572,.3850860842517262,.3481469730617611,,.24795,0
20-21,1976,.515953133419775,.426522247703374,.385608401742091,,.27463,0
20-21,1977,.555932819402179,.4585085288210881,.413888322641353,,.29875,0
20-21,1978,.623764192107215,.489791592136852,.429859514846977,.3951031196971334,.32648,0
20-21,1979,.6558030078949529,.542072044087315,.489561450733275,.4358744505676199,.36017,0
20-21,1980,.738873392855487,.615991967969581,.558767230720132,.4960620120947767,.40227,0
20-21,1981,.8231234253208189,.6866629480587809,.623091076989026,.5597495450163303,.44932,0
20-21,1982,.910181908944126,.7385999503456859,.661204223080322,.6326733277225651,.50367,0
20-21,1983,.979873057063652,.773025769302194,.682309085920675,.6865399134403484,.5523,0
20-21,1984,1.03570172337177,.820245093888518,.725356019811899,.7293136586108311,.59137,0
20-21,1985,1.13017710538504,.862152264691499,.7489580752523339,.7617239994968514,.62363,0
20-21,1986,1.22440441712264,.826547751337959,.672794109385204,.7895297251851026,.65524,0
20-21,1987,1.22520254075842,.8345122481666409,.6829719208237189,.8088940468781413,.67156,0
20-21,1988,1.25473837868122,.8662149830385271,.7146853098303799,.8283280733226913,.69313,0
20-21,1989,1.26329348908501,.893307096999498,.747592363766815,.8498207447508541,.71599,0
20-21,1990,1.23294110333129,.879667686697612,.740327776670396,.8586975808085746,.73511,0
20-21,1991,1.25101022512181,.8722193515111419,.7241159783918321,.8821211351241308,.754,0
20-21,1992,1.23198397823795,.861830883201077,.7170505651958411,.8771932681420896,.769,0
20-21,1993,1.22427094958898,.8510501584550509,.7054073188057159,.8696007063531881,.78161,0
20-21,1994,1.18674320600874,.859480370941705,.730185144490909,.8679314860560655,.78893,0
20-21,1995,1.18258100641344,.880145707865206,.759587911080435,.8673846057345996,.79798,0
20-21,1996,1.16265914811542,.8738494796887279,.758393452132073,.8731732364327884,.80889,0
20-21,1997,1.18118646119268,.884638592094207,.766261156075726,.8694265941298686,.81602,0
20-21,1998,1.18120406711036,.8708512242490509,.7479076297022751,.8661622825628201,.82379,0
20-21,1999,1.15100318565155,.872500017748458,.7608835831939351,.8673886454625638,.8256,0
20-21,2000,1.1156225201938,.9150955473420279,.830939666558276,.8940202939151136,.83834,0
20-21,2001,1.09238255395411,.9218918580613099,.8489294178531379,.9037644157871479,.85512,0
20-21,2002,1.06133551488721,.9080952943193471,.841798734163679,.910662003840373,.87283,0
20-21,2003,1.06857095227103,.9157756625649011,.849782082854067,.9082883909713766,.88918,0
20-21,2004,1.08034600796193,.933885478031211,.8703449639147389,.9174186755616884,.90381,0
20-21,2005,1.04282001320246,.96354339811559,.9285240338019221,.9359927419758036,.92134,0
20-21,2006,1.02677273703415,.973257982704445,.950444165612499,.9617287901985674,.94126,0
20-21,2007,1.00978022781485,.985478150434795,.975973720809408,.9772530754463074,.96539,0
20-21,2008,1.03149899928192,1.0308117892968,1.03175872353892,.9907554992518763,.98836,0
20-21,2009,.9852976039426029,.95495891756926,.941836264084534,.9949341121793988,.98931,0
20-21,2010,1,1,1,1,1,0
20-21,2011,1.0120743197489,1.04033474447934,1.05251540807907,1.017739101505978,1.00943,0
20-21,2012,.9858767624140969,1.04819092617979,1.07565281990416,1.028603410557745,1.02112,0
20-21,2013,.9947762683382829,1.03784026563204,1.0563238213859,1.032626183369822,1.02905,0
20-21,2014,.978885113808396,1.01107533033476,1.02428420723439,1.031410048928839,1.03498,0
20-21,2015,1.00570916426138,.986628295100608,.975074115595983,1.030898669860722,1.04687,0
20-21,2016,1.01096412426002,.9917835550987492,.9801690035171147,1.036285248272532,1.052340030670166,1
20-21,2017,1.01623821599235,.9969575838527713,.9852824403974972,1.041691437601208,1.057829976081848,1
20-21,2018,1.025912251362576,1.00644807808634,.994661793612197,1.051607773804305,1.067899942398071,1
20-21,2019,1.039445456454559,1.01972452374442,1.007782761835585,1.065479938465869,1.081987023353577,1
22-23,1952,,,,,,1
22-23,1953,,,,,,1
22-23,1954,,,,,,1
22-23,1955,,,,,,1
22-23,1956,,,,,,1
22-23,1957,,,,,,1
22-23,1958,,,,,,1
22-23,1959,,,,,,1
22-23,1960,,,,,,1
22-23,1961,,,,,,1
22-23,1962,,,,,,1
22-23,1963,,,,,,1
22-23,1964,,,,,,1
22-23,1965,,,,,,1
22-23,1966,,,,,,1
